Advertiser,Upload Date,Before,After
yieldstreet,19-07-18,27,38
fbi jobs,21-12-18,46,40
Norrona Sport AS,06-08-18,38,15
honey coupons,18-04-19,19,90
google products,15-04-19,32,42
esteelauder,08-04-19,59,58
stand trump,03-04-19,25,38
Noosa Yoghurt,14-03-18,57,64
bilh,01-04-19,0,18
National Pork board,24-04-17,34,50
grammarly,21-02-19,83,91
Levi Strauss & Co.,13-02-19,53,58
ScHoolboy Q,16-04-19,33,59
honda,29-03-19,84,85
sprite,28-03-19,34,38
apple,15-04-19,47,46
apple,28-03-19,59,49
geappliances,21-12-18,74,72
apple,28-03-19,59,49
efax,21-12-18,55,48
hidden valley,15-05-18,71,65
udemy,18-06-18,75,74
mike johnston,26-03-19,0,33
google products,15-04-19,32,42
mous,15-04-19,56,66
todaysmilitary,13-03-19,0,14
apple,28-03-19,59,49
breakthroughtickets,05-12-18,0,29
poshmark,18-03-19,89,93
National Pork board,28-12-17,28,42
vudu,26-03-19,61,61
clorox,05-03-19,71,75
farmers,24-02-19,37,34
hyundai,02-04-19,94,89
oldnavy,09-04-19,36,40
wework,26-03-19,67,77
impeach trump,10-12-18,19,34
ubereats,18-04-19,64,78
walkme,24-03-19,78,79
geico,11-03-19,89,90
stitchfix,11-03-19,0,0
google products,29-03-19,32,31
Booking.com,22-02-18,73,85
skechers,01-04-19,53,71
botoxcosmetic,06-02-19,58,73
Mitsubishi Outlander,21-03-19,99,94
Trump store,15-02-19,72,35
rakuten,11-02-19,45,62
mazda,08-04-19,89,92
godaddy,05-02-19,96,98
mcdonalds,04-04-19,64,60
qdoba,02-11-18,0,0
Honda,12-04-19,85,85
old line spirits,04-04-19,37,74
bonnieplants,17-03-19,11,12
National Pork board,10-04-17,34,50
jamf,09-11-18,84,68
stitchfix,24-02-19,0,0
alouettecheese,21-06-18,51,49
hormel,06-03-19,6,9
patagonia,31-05-18,29,29
aflac,06-01-19,69,87
sony playstation,18-03-19,39,44
rakuten,04-04-19,85,65
cvs,14-02-19,63,66
pescamaya,09-09-11,0,0
honda passport,17-04-19,68,70
Roger Williams Park Zoo,22-03-19,21,44
wsj,10-04-19,70,74
hotwire,28-02-19,67,71
roomba i7,17-04-19,9,12
mwcc,17-04-19,67,39
studio-cycles,07-03-19,46,47
penguins movie,10-04-19,16,100
google products,29-03-19,32,31
telluride,04-02-19,20,100
d2p,22-02-19,0,19
A Double Shot at Love,27-03-19,13,11
homecoming,17-04-19,11,29
vudu,10-04-19,53,57
longshot,08-04-19,77,86
J. C. Penney,11-04-19,31,32
instacart,08-04-19,87,82
bonandvivspikedseltzer,12-04-19,3,3
bhphotovideo,24-12-18,56,57
Love Beauty and Planet,22-02-19,78,59
apple,15-04-19,47,46
dolesunshine,24-03-19,46,23
Telegram & Gazette,02-04-19,52,68
mcdonalds,04-04-19,64,60
Wells Fargo,16-04-19,67,68
impeach trump,02-10-18,11,16
kachava,21-02-19,100,94
Ford,14-03-19,62,63
apple,14-04-19,47,46
navy,31-03-19,70,72
progressive,21-09-18,87,89
apple,21-03-19,50,59
getclients,28-01-19,34,84
hersheys,05-04-19,46,42
Patrick Motors,12-04-19,32,32
apple,21-03-19,50,59
oscarmayer,21-02-19,48,50
grammarly,29-04-17,45,46
dunkindonuts,08-02-19,63,67
kensington,11-12-18,46,42
apple,14-04-19,47,46
zillow,01-04-19,100,99
sprint,12-04-19,67,68
Mitsubishi Outlander,21-03-19,99,94
kopari,27-09-18,24,65
nytimes,16-04-19,46,50
honda,04-03-19,84,87
royalcaribbean,01-01-19,64,88
grammarly,05-04-19,80,81
House of Highlights,15-04-19,84,76
Spin Master Spark Club,12-04-19,0,0
redfin,23-01-19,65,76
centralfcu,01-10-18,45,40
longshot,12-04-19,86,100
atn,25-01-18,33,33
adidas,24-01-19,43,51
ikea,24-03-19,69,69
chrome tip,04-01-19,76,74
Wells Fargo,22-03-19,67,67
wikibuy,13-01-19,67,55
pinehurst,14-03-19,62,78
freestylelibre,21-11-18,43,23
thehustle,18-04-19,33,46
inspire uplift,23-12-18,81,53
laird superfood,20-12-17,31,53
goldbondultimate,08-01-19,64,73
uber,07-02-19,82,83
google products,08-04-19,31,32
yslbeautyus,20-08-18,0,0
RV LYFER,14-04-19,0,0
apple,11-04-19,47,46
telluride,19-02-19,51,45
grammarly,23-10-18,98,86
maytag,08-04-19,82,74
hyundai,02-04-19,94,89
pronamel,26-02-19,67,36
skechers,01-04-19,53,71
bkbx,15-02-19,45,68
longshot,19-04-19,0,0
dazn,05-04-19,17,22
booking,24-02-19,93,87
GQ,14-04-19,47,45
tresiba,30-08-18,0,0
mazda,09-04-19,89,92
mcdonalds,01-04-19,66,64
pronamel,24-02-19,67,36
apple,12-04-19,47,46
fandango,16-04-19,34,38
Lo Key,28-02-19,62,47
services petsmart,14-04-19,73,75
vmware,17-04-19,90,81
teenspirit movie,05-04-19,5,40
breakthroughtickets,15-04-19,26,100
impeach trump,01-03-19,14,22
walmart,20-02-19,37,40
vw,01-04-19,97,94
Vevo,09-04-19,23,27
apple,28-03-19,59,49
aflac,19-04-19,0,0
chevrolet,28-02-19,90,94
geico,04-04-19,89,84
grammarly,15-09-17,61,58
samsung galaxy 10,14-03-19,74,62
Real Food Dudes,16-03-19,0,0
Jeff Bishop,19-12-18,34,45
apple,21-03-19,50,59
mcdonalds,02-04-19,66,64
mcdonalds,15-04-19,60,62
mcdonalds,04-04-19,64,60
sprint,26-03-19,70,70
fandango,11-04-19,63,34
switch nintendo,11-04-19,26,32
gamefuel,05-04-19,74,57
Uber,01-02-19,82,83
oculus go,12-11-18,11,24
sony playstation,20-03-19,39,44
brandless,08-04-19,21,20
2019 Nissan Rogue,12-04-19,82,90
vitaminshoppe,14-04-19,43,36
conedsolutions,24-01-19,24,29
autotrader,06-01-19,87,86
andersenwindows,27-08-18,42,33
apple,28-03-19,59,49
National Pork board,24-03-17,16,25
mazda,08-04-19,89,92
apple,21-03-19,50,59
grammarly,14-02-19,82,85
leagueoflegends,14-03-19,66,60
Clinique,29-03-19,60,84
statefarm,10-04-19,83,81
sensodyne,28-08-18,71,63
dickssportinggoods,30-01-19,12,4
wikibuy,06-06-18,18,22
grammarly,01-04-19,81,77
geico,05-02-19,93,89
flonase,14-04-19,95,87
get blazetv,04-02-19,73,72
Mariah Carey,08-04-19,38,35
ChainsmokersVEVO,11-04-19,55,41
godaddy,30-01-19,96,100
tide,31-03-19,68,79
Wells Fargo,06-03-19,70,67
desert order,26-03-19,59,60
sunbasket,24-09-18,0,0
panzerrush,22-12-18,0,0
soma,04-04-19,39,42
hillsdale college,05-12-18,54,51
oldnavy,11-04-19,36,40
plantscription,13-03-19,42,70
SK-II,19-03-19,75,43
The Chi on SHOWTIME,09-04-19,60,85
oralb,03-07-18,36,38
goldbondultimate,31-03-19,40,32
selinc,05-03-19,14,72
movo cash,03-12-18,26,26
apple,09-04-19,49,47
grammarly,28-03-19,81,77
marriott,25-02-19,86,88
geico,02-04-19,87,89
longshot,19-04-19,0,0
clorox,03-03-19,71,75
groupon,25-06-18,90,95
